pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
mouse3_GF_jejunum	0.210314376	-0.106762673	0.043051257	-0.038887044	0.02809981	-0.078823551	0.173829559	0.146042873	0.120750492	-0.005552039	-0.038686838	-0.054175531	-0.001753615	-0.049026681	0.066275118	-0.003480573	-0.077197901	-0.137252399	-0.031744743	-0.026790612	0.100520664	0.058324078	-0.095454963	-0.154329022	-0.116701382	-0.207359576	0.04898455	0.038132755	0.136535893	0.243528803	-0.037364766	-0.129373764	-0.146076637	-0.230619991	0.102609866	0.103004694	-0.118812006	-0.066531966	0.050099886	0.025350312	-0.217187988	-0.055370465	-0.310373041	0.602276089	0.020684178
mouse3_GF_prox colon	0.07992549	0.125769498	-0.143619193	-0.045443605	0.045228395	-0.156822792	-0.005257699	-0.038203089	-0.085788748	-0.039595706	0.003602838	-0.143620758	0.206151966	-0.024981659	-0.04077649	0.065232314	-0.173605316	-0.266724804	-0.119910035	0.030531522	0.275014409	-0.003514546	0.239536801	0.199389206	0.022102617	-0.076941032	0.367534738	0.126950644	0.173465514	-0.107110792	0.032918833	-0.149115865	0.117909643	-0.066126042	-0.0788347	0.066005285	0.169789725	-0.215869843	0.338768166	-0.174193771	-0.140392475	-0.021385463	-0.095225778	-0.24060045	-0.001398549
mouse3_GF_Stomach	0.051667231	0.068457672	-0.093843262	0.255510023	-0.226586397	-0.115812159	0.070767759	-0.019632535	0.100611727	0.449574507	0.006748702	-0.289276979	0.013451271	0.450016034	-0.215451234	0.35092554	-0.060978428	0.032578043	0.109534928	0.113882885	0.010078874	-0.246439353	0.006012525	-0.004767571	0.054788903	-0.023724917	-0.123492725	-0.204380391	0.082723593	0.013682779	-0.099606795	-0.014706179	-0.010941196	-0.017071866	0.061313742	-0.022082302	-0.056406009	0.026053321	0.022998551	-0.027787833	-0.016089264	-0.022121938	-0.033858263	-0.008125646	-9.70E-06
mouse3_BT_cecum	0.074724381	0.20275214	-0.223721536	-0.069591349	0.084328809	-0.180382286	0.040557004	0.086312681	0.030521601	0.065712962	-0.204257831	0.119889257	0.043831714	0.026232347	0.033694315	-0.192293125	-0.285141561	-0.063031263	-0.214336703	-0.027882681	-0.13992443	0.222864676	-0.270455935	-0.231619839	0.265888799	0.117029184	-0.039892276	-0.22004458	0.270893849	0.048255065	-0.170738544	-0.100011464	0.308065452	0.011899969	0.057747236	-0.125376084	-0.154255539	-0.032959188	-0.11762208	-0.021729813	0.01875201	0.024419042	0.051695631	-0.114547569	0.016330988
mouse3_BT_ileum	0.122053934	0.080018943	-0.047108632	-0.024088199	0.025967049	-0.004868033	-0.093232024	-0.122074168	0.01822166	-0.197652068	0.04129242	-0.010676028	-0.193762327	-0.001624324	0.001372562	0.082877886	0.041956785	0.052396378	0.022781961	-0.019616514	0.150248397	-0.072726534	-0.220658946	0.112510354	0.055825192	0.290934457	-0.082835724	-0.350458046	0.051738403	0.191119086	0.367627835	-0.113529053	-0.179544647	-0.254002706	-0.262831942	0.191465118	-0.090812922	-0.241682137	-0.047651779	-0.177390703	0.186821597	-0.066933663	-0.087823142	-0.082727157	0.099192936
mouse3_BT_jejunum	0.203436908	-0.11765067	-0.004398689	-0.031111978	-0.046257079	-0.123570631	-0.112992722	-0.209524207	0.140219998	-0.164900005	-0.234256199	0.160097482	-0.062568773	0.120055083	-0.063529722	0.175238084	0.136306838	-0.145827229	0.049233956	0.133508045	0.036559927	-0.060124438	0.037619312	-0.284345682	-0.116834147	0.172538647	0.412512175	0.003862314	-0.166127799	0.029651615	-0.239492198	0.175194655	0.128045331	0.048868961	-0.103608246	0.190937026	-0.235673372	0.039916956	0.062770397	0.03446931	0.190190877	0.147687465	0.049288967	0.038770831	-0.14723157
mouse3_BT_prox colon	0.065380846	0.150304969	-0.162543926	-0.039555626	0.057654742	-0.268283607	0.012159286	0.020320439	0.026038151	0.110705663	-0.132690195	0.014874634	0.10493908	0.156159577	0.018321525	-0.094303413	0.065608291	0.077028647	0.138235217	-0.096821948	-0.203347239	0.35802553	0.281051073	0.109507854	-0.250566719	0.338304775	-0.200623646	0.130058494	-0.315452868	0.193250771	-0.133685036	-0.139625677	-0.116906021	-0.177540803	0.020872011	0.012709629	0.122051263	-0.110759941	0.072691906	0.026385437	0.017758678	-0.017080641	-0.065549563	-0.027399139	-0.038176279
mouse3_BT_Stomach	0.076719191	-0.064420829	-0.031897446	0.455662404	0.672035183	0.122955317	0.298497784	-0.289400991	0.023068955	0.106161855	-0.081664087	0.047237766	0.035729344	-0.037805538	-0.26869981	-0.061744908	0.091358952	0.097718669	-0.047668846	-0.061226146	0.111830556	0.034983813	-0.024721128	-0.013367193	0.030134347	0.006277652	0.015975635	0.044402252	-0.00243173	0.003732468	0.005623028	0.012881127	0.002337007	2.99E-05	-0.013425251	-0.000280862	0.010894031	-0.007277431	-0.003728205	0.004572848	0.001041526	0.005623784	0.005961913	-0.002393754	-0.000703721
mouse3_RF_cecum	0.240410432	-0.183367	0.018264089	-0.048924791	-0.035873932	-0.000690406	-0.003935232	-0.042294089	-0.213144546	0.122668622	0.103561783	-0.041955829	0.396085542	-0.11424704	0.063537071	-0.013539235	-0.023720435	0.206210439	-0.073106073	-0.105593009	-0.104263858	-0.098821538	-0.168595302	0.115123663	-0.100847325	-0.026317774	0.0872486	-0.235057674	-0.08501255	0.296361381	-0.055746614	-0.15098032	0.165633723	0.127876985	-0.282099687	0.101056865	0.195671829	0.333085663	0.024807514	-0.063986514	-0.003858211	0.03301051	-0.027256229	0.022622612	-0.221758492
mouse3_RF_ileum	0.159196711	0.113040824	-0.027201218	-0.042014505	0.026101208	0.202480061	0.00064908	0.116715882	-0.139851862	0.135514294	0.319063622	-0.020812306	-0.217884877	0.141521749	-0.087650283	-0.262581926	0.11299925	-0.172582345	-0.079672707	0.147360199	0.079268255	-0.047186491	-0.083537687	-0.183694308	-0.229659883	0.184474421	0.068775729	0.034134879	0.124586417	0.194826848	0.051699099	-0.257788586	-0.06944744	0.221226706	0.226308191	0.110326228	0.086941195	0.011929245	0.225503858	0.22121044	0.102292579	0.037378592	0.210379002	-0.062409948	-0.000155268
